20 06 1950	17.1875 29.787498 0.0 6.339766
21 06 1950	17.0875 31.537498 0.0 6.118328
22 06 1950	19.387499 30.4375 0.0 5.8705983
23 06 1950	17.887499 31.6875 0.0 6.238041
24 06 1950	18.2375 32.8875 0.0 7.685491
25 06 1950	18.787498 30.7375 0.0 7.6356096
26 06 1950	18.5875 28.3375 0.0 6.620595
27 06 1950	18.1875 30.7375 0.0 6.1400256
28 06 1950	17.137499 32.5375 0.0 6.718305
29 06 1950	18.387499 32.7375 0.0 6.9734845
30 06 1950	19.4875 33.2375 0.0 7.13572
01 07 1950	20.637499 34.2875 0.0 7.0928473
02 07 1950	20.387499 35.087498 0.0 7.197369
03 07 1950	19.3375 34.337498 0.0 7.3112955
04 07 1950	21.5875 36.087498 0.0 7.486306
05 07 1950	23.387499 36.087498 0.0 7.507102
06 07 1950	20.0875 33.1875 0.0 7.412368
07 07 1950	20.9875 33.3875 0.0 8.656439
08 07 1950	19.8375 34.1875 0.0 8.266656
09 07 1950	19.537498 32.837498 0.0 6.9324408
10 07 1950	20.287498 33.5375 0.0 6.8337646
11 07 1950	21.0875 30.9875 0.0 7.7518516
12 07 1950	20.3375 31.387499 0.0 7.676478
13 07 1950	18.6875 33.2875 0.0 6.6979613
14 07 1950	19.9375 34.6375 0.0 6.9335823
15 07 1950	20.0875 31.7375 0.0 7.953266
16 07 1950	19.387499 32.6375 0.0 6.6746955
17 07 1950	20.2375 33.2875 0.0 6.365681
18 07 1950	21.7375 33.5375 0.0 6.4395742
19 07 1950	22.037498 34.8875 0.0 6.686365
20 07 1950	21.8375 34.087498 0.0 6.182816
21 07 1950	20.8375 33.3875 0.0 6.0265236
22 07 1950	21.9875 34.337498 0.0 6.601723
23 07 1950	21.4375 37.6875 0.0 7.8871055
24 07 1950	22.4875 33.4375 0.0 8.467938
25 07 1950	20.9875 33.7875 0.0 7.8104415
26 07 1950	20.287498 33.9875 0.0 6.362257
27 07 1950	21.137499 35.087498 0.0 6.490262
28 07 1950	21.9875 34.7375 0.0 6.450474
29 07 1950	21.287498 36.4375 0.0 7.301334
30 07 1950	22.787498 35.337498 0.0 8.718909
31 07 1950	19.387499 35.1875 0.0 7.0502896
01 08 1950	22.9875 35.6375 0.0 6.832206
02 08 1950	20.6875 34.9875 0.0 6.9345994
03 08 1950	21.4375 31.8375 0.0 7.941825
04 08 1950	20.037498 27.3375 0.0 7.508167
05 08 1950	19.137499 30.9875 0.0 7.5478516
06 08 1950	17.537498 31.4375 0.0 5.904808
